Cores,PercApr22,ChangeApr22
1 core,0.19,+0.02
2 cores,11.36,+0.42
3 cores,0.48,-0.03
4 cores,33.73,+0.21
5 cores,0.02,0.00
6 cores,32.26,-1.16
7 cores,0.00,0.00
8 cores,18.40,+0.20
9 cores,0.00,0.00
10 cores,1.11,+0.06
11 cores,0.00,0.00
12 cores,1.69,+0.15
14 cores,0.17,+0.08
15 cores,0.00,0.00
16 cores,0.53,+0.05
18 cores,0.02,0.00
20 cores,0.01,0.00
22 cores,0.00,0.00
24 cores,0.02,0.00
26 cores,0.00,0.00
28 cores,0.00,0.00
30 cores,0.00,0.00
32 cores,0.01,0.00
36 cores,0.00,0.00
64 cores,0.00,0.00
